thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,one_coin.started,no_resp_text.stopped,one_coin.stopped,feedback.stopped,correct,outcome,block_end.started,block_end_text.started,block_end_resp.started,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,4,2,baseline,156,3.7,0.34,3.0,-0.164,flat,curv_flat,0.0,0.0,0.34,pen,input_data/stims/Shape_3.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,1,up,0.6324436659997446,None,up,0.6307461670003249,None,None,None,['right'],[0.352489125001739],[0.41602462499940884],up,1.1181605840029079,None,0,0,0,0,0,0,0,1,1.9761847499976284,,0.3329096669986029,0.5534913749979751,0.5534913749979751,0.5534913749979751,1.1882539580001321,up,0.6324436659997446,None,1.1938262919975386,1.2747157079975295,1.2747157079975295,1.9151404579970404,up,0.6307461670003249,None,1.9635562499970547,0.048392208002042025,2.897858541997266,2.897903791999852,2.9364236669971433,3.467297957999108,3.4639219169985154,3.464033207998,0.00011633300164248794,4.847593082999083,4.848887374999322,4.945670624998456,4.945670624998456,4.945670624998456,4.945670624998456,4.945670624998456,4.945670624998456,4.945670624998456,6.072704416998022,"[-0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124]",None,None,['right'],[0.352489125001739],[0.41602462499940884],up,1.1181605840029079,None,6.072961082998518,6.078341666998313,6.202869624998129,6.1977695419991505,6.197822999998607,6.202869624998129,6.202869624998129,6.701520332997461,6.701520332997461,6.698000874999707,1,1,,,,,1,D,2026-03-31_01h07.39.479,valence_final_v2,2024.2.4,60,2026-03-31 01h07.53.119581 -0400,
1,1,0,4,2,baseline,122,0.3,-0.34,1.0,-0.096,curv,curv_flat,0.0,0.0,-0.34,rew,input_data/stims/Shape_0.30_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,-1.0,-1.0,-1,up,0.6324436659997446,None,up,0.6307461670003249,None,None,None,['left'],[0.3508962089981651],[0.23596483299843385],up,0.880210208997596,None,0,0,0,0,0,1,1,0,6.701520332997461,,,,,,,,,,,,,,,,,6.698441458000161,0.00041604199941502884,7.782038957997429,7.782094707999931,7.826836291998916,8.328220332998171,8.321478750000097,8.321573624998564,9.991600018111058e-05,9.755137416999787,9.756479957999545,9.809028083000157,9.809028083000157,9.809028083000157,9.809028083000157,9.809028083000157,9.809028083000157,9.809028083000157,10.698478374997649,"[-0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.096, -0.104, -0.112, -0.12, -0.128, -0.136, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256]",None,None,['left'],[0.3508962089981651],[0.23596483299843385],up,0.880210208997596,None,10.698692750000191,10.703332791999856,10.828328457999305,10.820405582999228,10.820452624997415,10.828328457999305,10.828328457999305,11.34504104199732,11.34504104199732,11.322698916999798,1,1,,,,,1,D,2026-03-31_01h07.39.479,valence_final_v2,2024.2.4,60,2026-03-31 01h07.53.119581 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.341177916998276,11.34504104199732,11.34504104199732,,,,,,,,,
