thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,one_coin.started,no_resp_text.stopped,one_coin.stopped,feedback.stopped,valence,correct,outcome,one_cross.started,one_cross.stopped,three_cross.started,three_cross.stopped,subj,difficulty,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,27,2.7,0.14,4.0,0.044,flat,flat_curv,0.0,-0.14,rew,pen,input_data/stims/Shape_2.70_4.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,up,1.2617097919574007,None,None,None,['left'],[0.3208665830316022],[0.27596620901022106],up,0.7353601669892669,None,0,0,0,0,0,0,0,27,1.8319301250157878,,0.22184625000227243,0.37988499994389713,0.37988499994389713,1.6526537919417024,up,1.2617097919574007,None,1.7163009169744328,0.06356437504291534,2.608764832955785,2.6088046670192853,2.6491961249848828,3.6510041669243947,3.639390749973245,3.6396757499314845,0.000293583027087152,5.031593875028193,5.032837208011188,5.124760375008918,5.124760375008918,5.124760375008918,5.124760375008918,5.124760375008918,5.124760375008918,5.124760375008918,5.869493332924321,"[0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.04, 0.036, 0.032, 0.028, 0.024, 0.02, 0.016, 0.012, 0.008, 0.004, 0.0, -0.004, -0.008, -0.012, -0.016, -0.02, -0.024, -0.028, -0.032, -0.036, -0.04, -0.044, -0.048, -0.052, -0.056, -0.06, -0.064, -0.068, -0.072, -0.076, -0.08, -0.084, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088, -0.088]",None,None,['left'],[0.3208665830316022],[0.27596620901022106],up,0.7353601669892669,None,5.869870999944396,5.8754976249765605,6.126797207980417,6.1180534169543535,6.118174833012745,6.126797207980417,6.126797207980417,7.12249462492764,7.12249462492764,7.118177750031464,pen,1,1,,,,,,hard,D,2025-04-04_14h33.54.697,asymmetry_final,2024.2.4,120,2025-04-04 14h34.04.274152 -0400,
1,1,0,1,1,baseline,14,1.5,-0.1,0.0,0.256,curv,curv_flat,0.0,-0.1,pen,rew,input_data/stims/Shape_1.50_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.2617097919574007,None,None,None,['left'],[0.6924985001096502],[0.27157316589728],up,1.1241349580232054,None,0,0,0,0,0,1,1,14,7.12249462492764,,,,,,,,,7.118862124974839,0.0007178329396992922,8.160783792030998,8.160824583028443,8.194641249952838,9.188528166967444,9.184822208015248,9.185069625033066,0.0002530000638216734,10.627009458024986,10.628322417032905,10.691683250013739,10.691683250013739,10.691683250013739,10.691683250013739,10.691683250013739,10.691683250013739,10.691683250013739,11.819894957938232,"[0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.256, 0.252, 0.248, 0.244, 0.24, 0.236, 0.232, 0.228, 0.224, 0.22, 0.216, 0.212, 0.208, 0.204, 0.2, 0.196, 0.192, 0.188, 0.184, 0.18, 0.176, 0.172, 0.168, 0.164, 0.16, 0.156, 0.152, 0.148, 0.144, 0.14, 0.136, 0.132, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128, 0.128]",None,None,['left'],[0.6924985001096502],[0.27157316589728],up,1.1241349580232054,None,11.82030608295463,11.82549470802769,12.092825833009556,12.068282791995443,12.088118207990192,12.092825833009556,,13.088530667009763,,13.0848105000332,rew,0,-1,12.092825833009556,13.088530667009763,,,,hard,D,2025-04-04_14h33.54.697,asymmetry_final,2024.2.4,120,2025-04-04 14h34.04.274152 -0400,
2,2,0,1,1,baseline,34,3.5,0.3,4.0,0.032,flat,curv_flat,0.0,0.3,rew,pen,input_data/stims/Shape_3.50_4.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.2617097919574007,None,None,None,['right'],[0.7779859169386327],[0.19941054098308086],up,2.4012598330155015,None,0,0,0,0,0,2,2,34,13.088530667009763,,,,,,,,,13.085535499965772,0.0006794999353587627,13.977546082925983,13.977592958020978,14.009694666950963,15.006144749931991,15.002287082956173,15.002576207974926,0.0003025420010089874,16.344520541955717,16.345704125007614,16.40037620801013,16.40037620801013,16.40037620801013,16.40037620801013,16.40037620801013,16.40037620801013,16.40037620801013,18.812305375002325,"[0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.032, 0.036, 0.04, 0.044, 0.048, 0.052, 0.056, 0.06, 0.064, 0.068, 0.072, 0.076, 0.08, 0.084, 0.088, 0.092, 0.096, 0.1, 0.104, 0.108, 0.112, 0.116, 0.12, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124, 0.124]",None,None,['right'],[0.7779859169386327],[0.19941054098308086],up,2.4012598330155015,None,18.812932792003267,18.81747412495315,19.06779362494126,19.0549745419994,19.056492583011277,19.06779362494126,19.06779362494126,20.067897000000812,20.067897000000812,20.055107624968514,pen,1,1,,,,,,hard,D,2025-04-04_14h33.54.697,asymmetry_final,2024.2.4,120,2025-04-04 14h34.04.274152 -0400,
3,3,0,1,1,baseline,20,2.1,0.02,4.0,-0.276,flat,curv_flat,0.0,0.02,rew,pen,input_data/stims/Shape_2.10_4.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.2617097919574007,None,None,None,['right'],[0.6260429579997435],[0.23526125005446374],up,1.1969237079611048,None,0,0,0,0,0,3,3,20,20.067897000000812,,,,,,,,,20.055693082977086,0.0005754579324275255,21.147642916999757,21.147686125012115,21.17555641697254,22.16809295793064,22.157338207936846,22.157634499948472,0.00030762492679059505,23.499613624997437,23.500811957987025,23.56052824994549,23.56052824994549,23.56052824994549,23.56052824994549,23.56052824994549,23.56052824994549,23.56052824994549,24.759534707991406,"[-0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.276, -0.272, -0.268, -0.264, -0.26, -0.256, -0.252, -0.248, -0.244, -0.24, -0.236, -0.232, -0.228, -0.224, -0.22, -0.216, -0.212, -0.208, -0.204, -0.2, -0.196, -0.192, -0.188, -0.184, -0.18, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176, -0.176]",None,None,['right'],[0.6260429579997435],[0.23526125005446374],up,1.1969237079611048,None,24.75993112497963,24.767582749947906,25.034725666977465,25.005930457962677,25.012249249964952,25.034725666977465,,26.03443283296656,,26.021457957918756,pen,0,-3,,,25.034725666977465,26.03443283296656,,hard,D,2025-04-04_14h33.54.697,asymmetry_final,2024.2.4,120,2025-04-04 14h34.04.274152 -0400,
4,4,0,1,1,baseline,37,3.7,0.34,4.0,-0.16,flat,flat_curv,0.0,-0.34,rew,pen,input_data/stims/Shape_3.70_4.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,,,,,,,,,,,,,,,,0,4,4,37,26.03443283296656,,,,,,,,,26.021810499951243,0.00034795806277543306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
