thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,true_div,div_pos,target_pos,valence,target_file,img1_file,img2_file,valence_direction,direction,marker_direction,noise_direction,shape_category,valence_resp.keys,valence_resp.rt,valence_resp.duration,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,valence_instruct.started,valence_image.started,valence_text.started,valence_resp.started,valence_instruct.stopped,blocks.valence_resp.keys,blocks.valence_resp.rt,blocks.valence_resp.duration,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,one_coin.started,no_resp_text.stopped,one_coin.stopped,feedback.stopped,correct,outcome,three_cross.started,three_cross.stopped,block_end.started,block_end_text.started,block_end_resp.started,block_end.stopped,block_outcome,block_bonus,blocks.block_end_resp.keys,blocks.block_end_resp.rt,blocks.block_end_resp.duration,subj,practice?,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,4,2,baseline,156,3.7,0.34,3.0,-0.164,flat,curv_flat,0.0,0.0,0.34,pen,input_data/stims/Shape_3.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,1.0,1,up,0.7019400000026508,None,up,0.6609548750020622,None,None,None,['right'],[0.5785975830003736],[0.46798025000316557],up,1.1595662080035254,None,0,0,0,0,0,0,0,1,2.0516339160021744,,0.32423370800097473,0.5346858750017418,0.5346858750017418,0.5346858750017418,1.2397764160014049,up,0.7019400000026508,None,1.245302499999525,1.3276554580006632,1.3276554580006632,1.989552625000215,up,0.6609548750020622,None,2.038756875001127,0.0491825829994923,2.973391833002097,2.9734509580011945,3.013600750000478,3.5104852080003184,3.5067332910002733,3.506847958000435,0.00011991599967586808,4.990425250001863,4.991668333001144,5.078094166001392,5.078094166001392,5.078094166001392,5.078094166001392,5.078094166001392,5.078094166001392,5.078094166001392,6.244636040999467,"[-0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.164, -0.156, -0.148, -0.14, -0.132, -0.124, -0.116, -0.108, -0.1, -0.092, -0.084, -0.076, -0.068, -0.06, -0.052, -0.044, -0.036, -0.028, -0.02, -0.012, -0.004, 0.004, 0.012, 0.02, 0.028, 0.036, 0.044, 0.052, 0.06, 0.068, 0.076, 0.084, 0.092, 0.1, 0.108, 0.116, 0.124, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132, 0.132]",None,None,['right'],[0.5785975830003736],[0.46798025000316557],up,1.1595662080035254,None,6.245207415999175,6.25703916600105,6.430467000001954,6.423747125001682,6.423808208000992,6.430467000001954,6.430467000001954,6.936481625001761,6.936481625001761,6.928426582999236,1,1,,,,,,,,,,,,,1,D,2026-03-31_01h28.20.226,valence_final_v2,2024.2.4,60,2026-03-31 01h28.31.962409 -0400,
1,1,0,4,2,baseline,131,1.1,-0.18,1.0,0.004,curv,flat_curv,0.0,0.0,0.18,rew,input_data/stims/Shape_1.10_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,-1.0,-1,up,0.7019400000026508,None,up,0.6609548750020622,None,None,None,['left'],[0.31821612500061747],[0.16388833399832947],up,0.6651421669994306,None,0,0,0,0,0,1,1,0,6.936481625001761,,,,,,,,,,,,,,,,,6.928852208002354,0.0003908750004484318,7.862387332999788,7.862434499998926,7.890693083001679,8.408774375002395,8.405439750000369,8.405545290999726,0.00011012500181095675,9.789157040999271,9.790348582999286,9.853214665999985,9.853214665999985,9.853214665999985,9.853214665999985,9.853214665999985,9.853214665999985,9.853214665999985,10.524672040999576,"[0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, -0.004, -0.012, -0.02, -0.028, -0.036, -0.044, -0.052, -0.06, -0.068, -0.076, -0.084, -0.092, -0.1, -0.108, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116, -0.116]",None,None,['left'],[0.31821612500061747],[0.16388833399832947],up,0.6651421669994306,None,10.52486729100201,10.53011533300014,10.652592041002208,10.647175916001288,10.647217665999051,10.652592041002208,,11.166560207999282,,11.144718625000678,0,-3,10.652592041002208,11.166560207999282,,,,,,,,,,,1,D,2026-03-31_01h28.20.226,valence_final_v2,2024.2.4,60,2026-03-31 01h28.31.962409 -0400,
0,0,0,6,2,flat_comp,211,2.1,0.02,3.0,-0.144,curv,flat_curv,0.2,-0.2,-0.02,rew,input_data/stims/Shape_2.10_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,1,-1,1.0,1.0,-1,None,,,up,0.9563710410002386,None,None,None,['left'],[0.8874121250009921],[0.15189929199914332],up,1.2545102919975761,None,1,0,1,0,0,0,0,1,17.260297415999958,,16.240695915999822,,,,16.240729625002132,None,,,16.243860333001066,16.249978208001266,16.249978208001266,17.21318012499978,up,0.9563710410002386,None,17.25528737499917,0.04207758299889974,18.3396959160018,18.33976133300166,18.369407250000222,18.886361458000465,18.878655125001387,18.87880508300077,0.0001454579978599213,20.31241370800126,20.313907625000866,20.372522790999938,20.372522790999938,20.372522790999938,20.372522790999938,20.372522790999938,20.372522790999938,20.372522790999938,21.63289637500202,"[-0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.144, -0.152, -0.16, -0.168, -0.176, -0.184, -0.192, -0.2, -0.208, -0.216, -0.224, -0.232, -0.24, -0.248, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256, -0.256]",None,None,['left'],[0.8874121250009921],[0.15189929199914332],up,1.2545102919975761,None,21.63315650000004,21.640202750000753,21.769940124999266,21.761283666000963,21.76132625000173,21.769940124999266,,22.269562625002436,,22.261716375000105,0,-3,21.769940124999266,22.269562625002436,11.163219707999815,11.166560207999282,11.166560207999282,16.240537916000903,-2,0,up,5.066234375000931,None,,1,D,2026-03-31_01h28.20.226,valence_final_v2,2024.2.4,60,2026-03-31 01h28.31.962409 -0400,
1,1,0,6,2,flat_comp,206,1.7,-0.06,3.0,0.316,curv,curv_flat,0.2,0.2,-0.06,rew,input_data/stims/Shape_1.70_3.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,1,1,1.0,1.0,-1,None,,,up,0.9563710410002386,None,None,None,"['right', 'left']","[0.3193214579987398, 0.8626235419978912]","[0.12408920899906661, 0.09596495799996774]",up,1.0956221669985098,None,1,0,1,0,0,1,1,0,22.269562625002436,,,,,,,,,,,,,,,,,22.262106916001358,0.00038329200106090866,23.145671665999544,23.145732041000883,23.182596875001764,23.6870871659994,23.683152249999694,23.683259833000193,0.0001122089997807052,25.066890791000333,25.06813979100116,25.12083041599908,25.12083041599908,25.12083041599908,25.12083041599908,25.12083041599908,25.12083041599908,25.12083041599908,26.223586708001676,"[0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.324, 0.332, 0.34, 0.348, 0.356, 0.364, 0.372, 0.38, 0.388, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.396, 0.388, 0.38, 0.372, 0.364, 0.356, 0.348, 0.34, 0.332, 0.324, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316, 0.316]",None,None,"['right', 'left']","[0.3193214579987398, 0.8626235419978912]","[0.12408920899906661, 0.09596495799996774]",up,1.0956221669985098,None,26.223815083001682,26.22844674999942,26.353115875001095,26.344854582999687,26.344898333001765,26.353115875001095,,26.858930207999947,,26.84495966599934,0,-3,26.353115875001095,26.858930207999947,,,,,,,,,,,1,D,2026-03-31_01h28.20.226,valence_final_v2,2024.2.4,60,2026-03-31 01h28.31.962409 -0400,
0,0,0,5,2,curv_comp,197,2.7,0.14,3.0,-0.056,flat,flat_curv,-0.2,0.2,-0.14,pen,input_data/stims/Shape_2.70_3.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,-1.0,1.0,1,None,,,up,1.0214417919996777,None,None,None,['right'],[0.6048500409997359],[0.1040391249989625],up,0.9077057909998985,None,2,0,2,0,0,0,0,0,28.721637000002374,,27.63986550000118,,,,27.639898207999067,None,,,27.64289004099919,27.64827920800235,27.64827920800235,28.67316700000083,up,1.0214417919996777,None,28.71678475000226,0.04359991700039245,29.800915040999826,29.80096045800019,29.828974041000038,30.336060541001643,30.32968774999972,30.329793832999712,0.00010954200115520507,31.663358791000064,31.664710125001875,31.718653750001977,31.718653750001977,31.718653750001977,31.718653750001977,31.718653750001977,31.718653750001977,31.718653750001977,32.63287037500049,"[-0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.056, -0.048, -0.04, -0.032, -0.024, -0.016, -0.008, 0.0, 0.008, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016]",None,None,['right'],[0.6048500409997359],[0.1040391249989625],up,0.9077057909998985,None,32.63309058300001,32.64026033299888,32.769986625000456,32.76130862500213,32.76135383300061,32.769986625000456,32.769986625000456,33.26953758300078,33.26953758300078,33.26160391600206,1,1,,,26.8560655830006,26.858930207999947,26.858930207999947,27.63972287499928,-6,0,up,0.7749060839996673,None,,1,D,2026-03-31_01h28.20.226,valence_final_v2,2024.2.4,60,2026-03-31 01h28.31.962409 -0400,
1,1,0,5,2,curv_comp,189,1.9,-0.02,1.0,-0.4,flat,flat_curv,-0.2,0.2,0.02,pen,input_data/stims/Shape_1.90_1.00.png,input_data/stims/Shape_4.00_2.00.png,input_data/stims/Shape_0.00_2.00.png,-1,-1,-1.0,-1.0,1,None,,,up,1.0214417919996777,None,None,None,['right'],[0.6900165839979309],[0.10743187499974738],up,0.9728282500000205,None,2,0,2,0,0,1,1,1,33.26953758300078,,,,,,,,,,,,,,,,,33.26196320800227,0.0003534579991537612,34.24547708300088,34.24553279099928,34.281059125001775,34.869838082999195,34.86247849999927,34.8625821659989,0.00010804100020322949,36.14626283300095,36.14771016600207,36.20268445799957,36.20268445799957,36.20268445799957,36.20268445799957,36.20268445799957,36.20268445799957,36.20268445799957,37.18110779100243,"[-0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.4, -0.392, -0.384, -0.376, -0.368, -0.36, -0.352, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344, -0.344]",None,None,['right'],[0.6900165839979309],[0.10743187499974738],up,0.9728282500000205,None,37.1813245830017,37.186124708001444,37.30987795799956,37.30596412500017,37.30601133299933,37.30987795799956,37.30987795799956,37.82218666600238,37.82218666600238,37.80663691600057,1,1,,,,,,,,,,,,,1,D,2026-03-31_01h28.20.226,valence_final_v2,2024.2.4,60,2026-03-31 01h28.31.962409 -0400,
0,0,0,1,1,baseline,18,1.9,-0.02,1.0,-0.124,curv,curv_flat,0.0,0.0,-0.02,pen,input_data/stims/Shape_1.90_1.00.png,input_data/stims/Shape_0.00_2.00.png,input_data/stims/Shape_4.00_2.00.png,-1,1,-1.0,-1.0,-1,,,,,,,,,,,,,,,3,0,3,0,0,0,0,0,52.043897208001,,40.08060858300087,40.086722291001934,40.086722291001934,40.086722291001934,49.106778541001404,up,9.008705416999874,None,49.10975708299884,49.115472916000726,49.115472916000726,51.996172208000644,up,2.8762408340007823,None,52.03903220800203,0.042838624998694286,53.123266124999645,53.123317875000794,53.15112774999943,53.653306208001595,53.647591500001,53.64770387500175,0.00011558400001376867,55.08127245799915,55.082506582999486,55.133010083001864,55.133010083001864,55.133010083001864,55.133010083001864,55.133010083001864,55.133010083001864,55.133010083001864,,,,,,,,,,,,,,,,,,,,,,,,,37.817101208001986,37.82218666600238,37.82218666600238,40.02356399999917,2,0,up,2.19456608299879,None,,,,,,,,,
