thisN,thisTrialN,thisRepN,blockN,run,condition,trial_key,stim_file_pos,stim_pos,noise_pos,marker_init,shape,shape_order,div_pos,target_pos,subj_C0F1_val,subj_C1F0_val,target_file,img1_file,img2_file,block_start_resp.keys,block_start_resp.rt,block_start_resp.duration,marker.response,marker.rt,slider_resp.keys,slider_resp.rt,slider_resp.duration,submit_resp.keys,submit_resp.rt,submit_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,block_start.started,block_start_text.started,block_start_resp.started,block_start.stopped,blocks.block_start_resp.keys,blocks.block_start_resp.rt,blocks.block_start_resp.duration,baseline.started,ISI1.started,baseline.stopped,stim.started,target_stim.started,target_stim.stopped,stim.stopped,delay.started,ISI2.started,delay.stopped,task.started,img1.started,img2.started,divider_line.started,slider_line.started,marker.started,slider_resp.started,submit_resp.started,task.stopped,positions,trials.marker.response,trials.marker.rt,trials.slider_resp.keys,trials.slider_resp.rt,trials.slider_resp.duration,trials.submit_resp.keys,trials.submit_resp.rt,trials.submit_resp.duration,anticipation.started,anticipation_text.started,anticipation_text.stopped,anticipation.stopped,feedback.started,no_resp_text.started,three_coin.started,no_resp_text.stopped,three_coin.stopped,feedback.stopped,valence,correct,outcome,subj,difficulty,sess_type,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,1,1,baseline,0,0.1,-0.38,0.0,-0.044,curv,curv_flat,0.0,-0.38,pen,rew,input_data/stims/Shape_0.10_0.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.5352949579246342,None,None,None,['left'],[0.3033500829478726],[0.23984829103574157],up,0.6919252909719944,None,0,0,0,0,0,0,0,0,1.9248087500454858,,0.16143412503879517,0.3117774170823395,0.3117774170823395,1.8509761251043528,up,1.5352949579246342,None,1.9045235420344397,0.05346237507183105,2.7974079590057954,2.7974877090891823,2.8371262090513483,3.8492125000339,3.83756616699975,3.8379045840119943,0.0003581669880077243,5.329909709049389,5.331277459044941,5.4689245000481606,5.4689245000481606,5.4689245000481606,5.4689245000481606,5.4689245000481606,5.4689245000481606,5.4689245000481606,6.167296166997403,"[-0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.044, -0.048, -0.052, -0.056, -0.06, -0.064, -0.068, -0.072, -0.076, -0.08, -0.084, -0.088, -0.092, -0.096, -0.1, -0.104, -0.108, -0.112, -0.116, -0.12, -0.124, -0.128, -0.132, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136, -0.136]",None,None,['left'],[0.3033500829478726],[0.23984829103574157],up,0.6919252909719944,None,6.167564250063151,6.172436667024158,6.4274903340265155,6.416541125043295,6.4166647921083495,6.4274903340265155,6.4274903340265155,7.437341750017367,7.437341750017367,7.433088917052373,rew,1,3,,hard,D,2025-04-04_13h07.17.445,asymmetry_final,2024.2.4,120,2025-04-04 13h07.25.495335 -0400,
1,1,0,1,1,baseline,11,1.1,-0.18,0.0,0.104,curv,flat_curv,0.0,0.18,pen,rew,input_data/stims/Shape_1.10_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,up,1.5352949579246342,None,None,None,None,,,up,0.0011188749922439456,None,0,0,0,0,0,1,1,11,7.437341750017367,,,,,,,,,7.434025417082012,0.0008830419974401593,8.525931042036973,8.525973167037591,8.564408417092636,9.566094292094931,9.554591084015556,9.554886500001885,0.0003070420352742076,10.946810334105976,10.948008625069633,11.003419667016715,11.003419667016715,11.003419667016715,11.003419667016715,11.003419667016715,11.003419667016715,11.003419667016715,11.017418459057808,"[0.104, 0.104, 0.104]",None,None,None,,,up,0.0011188749922439456,None,11.01753966708202,11.019919292069972,11.28513808408752,11.265975667047314,11.281591750099324,11.28513808408752,,12.298982709064148,,12.289370959042571,rew,0,0,,hard,D,2025-04-04_13h07.17.445,asymmetry_final,2024.2.4,120,2025-04-04 13h07.25.495335 -0400,
2,2,0,1,1,baseline,32,3.3,0.26,4.0,-0.236,flat,curv_flat,0.0,0.26,rew,pen,input_data/stims/Shape_3.30_4.00.png,input_data/stims/Shape_0.00_0.00.png,input_data/stims/Shape_4.00_0.00.png,up,1.5352949579246342,None,None,None,None,,,up,0.23015479103196412,None,0,0,0,0,0,2,2,32,12.298982709064148,,,,,,,,,12.289766959031112,0.00038899993523955345,13.33165633410681,13.33169791707769,13.363705209107138,14.365813667071052,14.355556750087999,14.355776000069454,0.000228791031986475,15.747723625041544,15.748924834071659,15.808930792030878,15.808930792030878,15.808930792030878,15.808930792030878,15.808930792030878,15.808930792030878,15.808930792030878,16.051008000038564,"[-0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236, -0.236]",None,None,None,,,up,0.23015479103196412,None,16.051219709101133,16.055961959064007,16.30428700009361,16.299809709074907,16.299933209083974,16.30428700009361,,17.303125125006773,,17.29936429206282,pen,0,0,,hard,D,2025-04-04_13h07.17.445,asymmetry_final,2024.2.4,120,2025-04-04 13h07.25.495335 -0400,
3,3,0,1,1,baseline,15,1.5,-0.1,0.0,0.356,curv,flat_curv,0.0,0.1,pen,rew,input_data/stims/Shape_1.50_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,up,1.5352949579246342,None,None,None,None,,,up,0.005415457999333739,None,0,0,0,0,0,3,3,15,17.303125125006773,,,,,,,,,17.3001318750903,0.0007338749710470438,18.192063834052533,18.19210570899304,18.223292542039417,19.23295400000643,19.220971334027126,19.2212545000948,0.00029841705691069365,20.613194709061645,20.614410375012085,20.67318616702687,20.67318616702687,20.67318616702687,20.67318616702687,20.67318616702687,20.67318616702687,20.67318616702687,20.683701875037514,"[0.356, 0.356, 0.356]",None,None,None,,,up,0.005415457999333739,None,20.68384704203345,20.687540500075556,20.936559959081933,20.932796459062956,20.93285670899786,20.936559959081933,,21.936814834014513,,21.93324233405292,rew,0,0,,hard,D,2025-04-04_13h07.17.445,asymmetry_final,2024.2.4,120,2025-04-04 13h07.25.495335 -0400,
4,4,0,1,1,baseline,19,1.9,-0.02,0.0,0.08,curv,flat_curv,0.0,0.02,pen,rew,input_data/stims/Shape_1.90_0.00.png,input_data/stims/Shape_4.00_0.00.png,input_data/stims/Shape_0.00_0.00.png,,,,,,,,,,,,,,,,0,4,4,19,21.936814834014513,,,,,,,,,21.93401783402078,0.0007628749590367079,22.825974375009537,22.826016500010155,22.85810420906637,23.85362058400642,23.849746334017254,23.85004012507852,0.0002994589740410447,25.242015167023055,25.24348633410409,25.306569750071503,25.306569750071503,25.306569750071503,25.306569750071503,25.306569750071503,25.306569750071503,25.306569750071503,25.540241250069812,"[0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08, 0.08]",None,None,None,,,up,0.22862162499222904,None,25.540490709012374,25.548967250040732,25.799274916993454,25.787854584050365,25.787972084013745,25.799274916993454,,,,,,,,,,,,,,,,
